year,month,day,validity,causeCode,earthquakeMagnitude,locationCountry,locationName,locationLat,locationLong,maxWaterHeight,runups,numDeaths,numInjuries,descrDamage,numDestroyedHouses
1321,,,2,1,,ITALY,GULF OF VENICE,  45.400,   12.300,,1,,,,
1329,6,28,2,4,*,ITALY,ISLAND OF SICILY,  37.734,   15.004,,1,,,,
1331,8,15,4,1, 7.0,JAPAN,"OFF TANABE, WAKAYAMA PREFECTURE",  33.700,  135.200,,0,,,,
1332,2,12,2,1, 6.8,TURKEY,CONSTANTINOPLE,  40.900,   28.900,,1,,,,
1341,1,1,-1,1, 6.0,UKRAINE,CRIMEA,  44.300,   34.300,,0,,,,
1341,10,31,3,1, 7.0,JAPAN,"JUSANKO, TSUGARU AOMORI PREFECTURE",  41.000,  139.500,,1,2600,,,
1343,10,18,4,1, 7.5,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",  40.800,   28.300,,2,,,2,
1343,10,20,2,1,,TURKEY,MARMARA SEA,  41.000,   28.100,,0,,,,
1343,11,25,2,1,,ITALY,BAY OF NAPLES,,,,1,,,,
1348,1,25,2,1,,ITALY,GULF OF VENICE,  46.600,   13.800,,1,,,,
1360,11,22,4,1, 7.0,JAPAN,KUMANONADA,  33.400,  136.200,,3,,,,
1361,8,3,4,1, 8.4,JAPAN,NANKAIDO,  33.000,  135.000,,6,660,,4,1700
1365,1,2,3,1,*,ALGERIA,ALGIERS,  36.800,    3.000,   5.00,1,,,,
1389,3,20,2,1, 6.8,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",  38.400,   26.300,,1,,,,
1402,6,,2,1,,GREECE,GULF OF CORINTH,  38.110,   22.410,,1,,,,
1402,,,2,1,*,SYRIA,SYRIA,  35.000,   37.000,,0,,,,
1403,11,16,2,1,*,GREECE,AEGEAN SEA - ASIA MINOR,,,,1,,,,
1403,12,,4,1, 7.0,JAPAN,KUMANONADA,  33.700,  136.500,   2.00,2,,,,
1406,10,16,-1,9, 6.2,JAPAN,"SHIZUOKA, JAPAN",  34.400,  138.400,,0,,,,
1407,8,23,1,0,,NORTH KOREA,"HAEJU COAST, YELLOW SEA",  38.000,  125.700,,1,,,,
1408,1,21,4,1, 7.0,JAPAN,KUMANONADA,  33.800,  136.900,   2.00,2,,,,
1408,12,20,2,1,*,TURKEY,ANTIOCH,  36.200,   36.100,,1,,,,
1419,5,25,3,1,*,TURKEY,MARMARA SEA,,,,0,,,,
1420,9,6,1,0,,JAPAN,KASHIMA,,,   2.00,1,,,,
1433,11,7,4,1, 7.1,JAPAN,OFF IZU-OSHIMA,  34.900,  139.500,   2.00,1,,,,
1434,8,6,1,0,,SOUTH KOREA,"INCHON, CHEMULPO BAY, YELLOW SEA",  37.500,  126.000,,1,,,1,
1437,11,28,1,1,,GREECE,AEGEAN SEA,  40.000,   26.100,,0,,,,
1448,9,19,3,1, 7.0,JAPAN,"SADO, JAPAN",  37.500,  138.200,,1,,,2,
1456,12,4,2,1,*,ITALY,BAY OF NAPLES,  41.300,   14.700,,1,,,,
1481,5,3,2,1, 7.1,GREECE,ISLAND OF RHODES,  36.000,   28.000,   3.00,1,,,3,
1481,10,3,2,1,*,GREECE,ISLAND OF RHODES,  36.000,   28.000,,1,,,,
1489,,,2,1,*,TURKEY,SOUTH COASTS OF ASIA MINOR,,,,0,,,,
1494,7,1,3,1, 7.2,GREECE,ISLAND OF CRETE,  35.500,   25.500,,1,,,1,
1495,9,12,4,1, 7.1,JAPAN,"KAMAKURA, SAGAMI BAY, TOKAIDO",  35.100,  139.500,   5.00,2,200,,,
1498,7,9,2,1, 6.4,JAPAN,ENSHUNADA,  34.400,  137.700,,4,,,,
1498,8,2,2,1,*,VENEZUELA,BOCA DE LA SIERPE,   9.900,  -62.300,,1,,,3,
1498,9,20,4,1, 8.3,JAPAN,ENSHUNADA SEA,  34.000,  138.100,  10.00,6,5000,,4,1000
1498,9,20,4,1, 7.5,JAPAN,NANKAIDO,  33.500,  135.200,,1,,,1,
1500,7,10,-1,1,,JAPAN,TOKAIDO,,,,0,,,,
1500,,,2,0,*,USA,HAWAII,,,,1,,,,
1504,4,5,1,1,,PORTUGAL,LISBON,,,,0,,,,
1508,5,29,2,1, 7.1,GREECE,ISLAND OF CRETE,  35.000,   25.500,,1,,,,
1509,6,17,2,1,*,CHINA,SOUTH CHINA SEA,  31.500,  121.500,,3,,,,
1509,9,10,3,1, 7.7,TURKEY,MARMARA SEA,  40.800,   28.100,,1,,,,
1510,9,21,4,1, 6.7,JAPAN,OSAKA BAY,  34.600,  135.400,   2.00,1,,,1,
1510,10,10,-1,9,*,JAPAN,ENSHUNADA SEA,  34.500,  137.600,,1,,,,
1511,3,26,2,1, 6.5,ITALY,NORTH ADRIATIC,  46.200,   13.433,,2,,,,
1512,10,,1,0,,JAPAN,TOKUSHIMA PREFECTURE,,,,1,3700,,,
1513,,,2,1, 8.7,PERU,CALLAO, -17.200,  -72.300,,0,,,,
1519,9,24,1,0,,SOUTH KOREA,"CHUNGCHONG PROVINCE, YELLOW SEA",  36.300,  126.000,,1,,,,
1520,4,4,4,1, 7.0,JAPAN,"KII, KUMANANONADA",  33.600,  136.300,   2.00,1,,,1,
1521,10,,-1,0,,JAPAN,NANKAIDO,,,,0,,,,
1522,10,22,1,1,,PORTUGAL,AZORES,,,,0,,,,
1524,,,2,1,*,INDIA,DABUL (DABHEL),  17.000,   73.200,,0,,,,
1530,9,1,4,1,*,VENEZUELA,CUMANA,  10.700,  -64.100,   7.30,3,,,2,
1531,1,26,4,1, 7.7,PORTUGAL,"TAGUS RIVER, LISBON",  38.700,   -9.100,,1,,,1,
1531,1,,0,1, 4.8,CHINA,JIANGSU PROVINCE,  30.700,  117.500,,1,,,,
1534,,,2,1,,ISRAEL,PALESTINE,,,,1,,,,
1537,,,1,1,*,MEXICO,S. MEXICO,,,,1,,,,
1538,9,26,2,1,*,ITALY,POZZUOLI,  40.800,   14.200,,1,,,,
1539,11,24,2,1,*,HONDURAS,CABO DE HIGUERAS,  16.200,  -88.500,,1,,,1,
1540,,,2,6,,USA,"COOK INLET, AK",  59.370, -153.420,,0,,,,
1541,12,25,-1,1,*,VENEZUELA,CUBAGUA ISLAND,  10.800,  -64.200,,1,,,1,
1542,12,10,3,1, 6.6,ITALY,"SICILY, ITALY",  37.070,   15.300,,1,,,,
1543,9,1,1,1,*,VENEZUELA,CUMANA,  10.700,  -64.100,,2,,,1,
1545,2,7,2,1,*,JAPAN,IZU PENINSULA,  34.800,  139.000,,1,,,,
1546,1,14,3,1, 6.5,ISRAEL,GAZA - JAFFA,  32.000,   35.500,,1,,,,
1556,10,21,1,0,,SOUTH KOREA,YELLOW SEA,  37.000,  126.000,,2,,,,
1562,7,25,1,0,,JAPAN,W. KYUSHU ISLAND,  32.500,  130.600,,2,,,,
1562,10,20,3,1,,ITALY,REGGIO DI CALABRIA,  40.500,   15.500,,1,,,,
1562,10,28,3,1, 8.0,CHILE,SOUTHERN CHILE, -38.700,  -73.500,,1,,,3,
1564,7,20,4,1, 5.8,FRANCE,LIGURIA-COTE D'AZUR,  44.017,    7.283,,1,,,1,
1570,2,8,3,1, 8.3,CHILE,CENTRAL CHILE, -36.750,  -73.000,,1,2000,,3,
1570,,,1,1,,GREECE,DODECANESE,,,,0,,,,
1571,5,20,2,0,,JAPAN,"TAKADA, JAPAN",,,,1,,,,
1571,7,17,3,1,,TURKEY,MARMARA SEA,,,,0,,,,
1571,11,1,1,0,,HOLLAND,HOLLAND,,,,1,,,,
1575,12,16,3,1, 8.5,CHILE,SOUTHERN CHILE, -39.800,  -73.200,,3,1300,,2,
1579,3,16,1,1,*,COSTA RICA,CANO ISLAND,   8.705,  -83.880,,0,,,,
1580,1,,1,0,,NORTH KOREA,YELLOW SEA,  40.000,  128.000,,1,,,,
1580,4,6,0,1, 6.2,UK,"DOVER STRAITS, ENGLAND",  51.019,    1.309,,4,,,,
1582,1,22,1,1, 8.2,PERU,S. PERU, -16.600,  -71.600,,1,,,,
1584,3,11,2,3, 5.9,SWITZERLAND,SWITZERLAND,  46.330,    6.970,  18.00,1,,,3,
1584,3,17,2,1, 8.4,PERU,PERU, -11.800,  -77.800,,1,,,,
1585,6,11,1,0,,JAPAN,OFF MIYAGI PREFECTURE,,,   2.00,1,,,,
1586,1,18,4,1, 8.2,JAPAN,ISE BAY,  35.000,  136.800,,4,,,3,
1586,7,10,4,1, 8.5,PERU,CENTRAL PERU, -12.300,  -77.700,  26.00,6,,,3,
1587,7,9,1,1,*,PERU,,  -5.300,  -80.500,,1,,,2,
1589,3,21,4,1, 6.7,JAPAN,"SURUGA, JAPAN",  34.800,  138.200,,3,,,3,
1590,,,2,1, 7.7,PERU,S. PERU, -17.200,  -72.900,,1,,,2,
1591,7,26,1,1,*,PORTUGAL,AZORES,  37.783,  -25.500,,1,,,1,
1594,,,2,1,,ITALY,BAY OF NAPLES,  40.800,   14.400,,1,,,,
1596,9,4,4,3, 6.9,JAPAN,"BEPPU BAY, KYUSHU",  33.300,  131.700,   5.00,2,708,,1,80
1597,9,10,3,3, 6.4,JAPAN,"BEPPU BAY, JAPAN",  33.300,  131.600,,1,40,,,
1601,9,8,0,1, 6.2,SWITZERLAND,,  46.800,    8.500,,0,,,,
1601,,,2,1,,GREECE,ISLAND OF CRETE,  35.500,   25.500,,1,,,,
1602,2,8,4,3, 7.2,JAPAN,"BOSO, JAPAN",  35.100,  140.500,,2,,,,
1603,,,2,0,,JAPAN,KUMANONADA,,,   2.00,1,,,,
1604,11,24,4,1, 8.5,PERU,S. PERU, -17.880,  -70.940,   5.00,6,74,,3,
1604,12,29,1,1, 8.0,CHINA,SOUTH CHINA SEA,  25.000,  119.500,,2,,,2,
1604,,,1,1,*,GREECE,CRETE,  35.500,   25.500,,0,,,,
1605,2,3,4,1, 7.9,JAPAN,NANKAIDO,  33.000,  134.900,  10.00,10,5000,,3,700
1605,2,3,4,1, 7.9,JAPAN,ENSHUNADA,  33.500,  138.500,,7,1001,,1,80
1606,1,23,4,6,,JAPAN,CHICHIJIMA-TOKAIDO,  31.900,  140.000,,1,,,,
1607,1,30,-1,9,,UK,"BRISTOL CHANNEL, ENGLAND",  51.500,   -2.700,,23,2000,,3,
1608,4,20,3,1, 7.6,IRAN,CASPIAN SEA,  36.400,   50.500,,0,,,,
1608,7,1,3,6,,INDONESIA,"GAMALAMA, TERNATE ISLAND",    .800,  127.325,,1,,,,
1609,1,19,1,0,,UK,ENGLAND,  51.500,     .466,,0,,,,
1609,4,,2,1,,GREECE,ISLAND OF RHODES,  36.400,   28.400,,1,,,,
1611,12,2,4,1, 8.1,JAPAN,SANRIKU,  39.000,  144.500,  25.00,11,5000,,3,
1612,11,8,4,1, 6.7,GREECE,ISLAND OF CRETE,  35.500,   25.500,,1,,,,
1613,8,25,2,1, 5.6,ITALY,MESSINA,  38.117,   14.783,,1,,,,
1614,11,26,4,1, 7.7,JAPAN,NIIGATA PREFECTURE,  37.500,  138.000,,1,,,,
1615,6,5,4,1, 5.7,UKRAINE,BLACK SEA,  44.900,   35.500,   1.00,1,,,,
1615,9,16,2,1, 7.5,CHILE,NORTHERN CHILE, -18.500,  -70.350,   4.00,1,,,,
1616,9,9,4,1, 7.0,JAPAN,MIYAGI PREFECTURE,  38.100,  142.000,,3,,,1,
1616,12,6,2,1, 7.5,JAPAN,SANRIKU,  39.000,  144.500,,4,200,,,
1619,5,1,4,1, 6.4,JAPAN,"YATSUSHIRO, JAPAN",  32.500,  130.600,,1,,,1,
1622,5,5,2,1, 6.6,GREECE,ISLAND OF ZAKYNTHOS,  37.600,   21.000,,1,,,,
1624,3,19,2,1,*,ITALY,DELTA OF THE PO,  44.600,   11.800,,1,,,,
1627,7,30,4,1, 6.7,ITALY,GARGANO PENINSULA,  41.733,   15.350,,1,,,,
1627,9,14,3,1, 8.0,PHILIPPINES,W. LUZON ISLAND,  18.400,  121.600,,4,,,,
1629,2,27,-1,1,,GREECE,CRETE,  35.000,,,0,,,,
1629,3,7,-1,1,,GREECE,ISLAND OF CRETE,,,,0,,,,
1629,3,9,3,1, 7.0,GREECE,CRETE,  36.000,   25.000,,1,,,,
1629,8,1,3,1,*,INDONESIA,BANDA SEA,  -4.600,  129.900,  16.00,3,,,2,
1630,3,9,-1,1,,GREECE,ISLANDS OF CYTHERA & CRETE,,,,0,,,,
